"Grupo Estadistico2 (ALAMBRON, NEGROS ANTAAC), Direccion (VENTAS MEXICO) Periodo(Mes: Ene 2001/Ene 2021)",,,,,
Ene 2021 Grupo Estadistico3,Grupo Estadistico2,Est Toneladas Netas,Mes Año,Est Precio Destino MN/Ton,Est Precio ExWorks MN/Ton
ALAMBRONES ESPECIALES,ALAMBRON,802.96,sep-16,"11,803.94","11,712.32"
ARMADURA,NEGROS ANTAAC,477.48,sep-16,"15,655.10","15,162.16"
CASTILLO DOB.,NEGROS ANTAAC,799.03,sep-16,"14,643.50","14,041.99"
CASTILLO HOJAS,NEGROS ANTAAC,"6,808.41",sep-16,"13,242.91","12,955.52"
CLAVO 2-5,NEGROS ANTAAC,"1,425.29",sep-16,"14,947.58","14,074.01"
ESCALERILLA,NEGROS ANTAAC,47.85,sep-16,"19,314.22","18,220.21"
ESTRIBOS,NEGROS ANTAAC,701.67,sep-16,"11,129.61","10,498.22"
MALLA SOLDADA 44 Y 66,NEGROS ANTAAC,"1,619.05",sep-16,"13,863.03","13,582.13"
MALLA SOLDADA 88 Y 1010,NEGROS ANTAAC,"3,151.28",sep-16,"15,006.15","14,658.26"
VARILLA 6000 3/16 5/32,NEGROS ANTAAC,96.3,sep-16,"13,282.54","12,878.83"
VARILLA 6000 5/16 1/4,NEGROS ANTAAC,545.18,sep-16,"13,004.95","12,624.31"
ALAMBRE RECOCIDO,NEGROS ANTAAC,"3,347.83",sep-15,"10,244.37","9,651.47"
ALAMBRON CONSTRUCCION,ALAMBRON,"5,072.57",sep-15,"8,650.31","8,429.29"
ALAMBRON TREFILADO,ALAMBRON,"8,605.56",sep-15,"8,629.44","8,512.82"
ALAMBRONES ESPECIALES,ALAMBRON,909.97,sep-15,"10,381.84","10,254.86"
ARMADURA,NEGROS ANTAAC,564.51,sep-15,"11,377.18","10,821.17"
CASTILLO DOB.,NEGROS ANTAAC,943.01,sep-15,"10,498.41","9,876.92"
CASTILLO HOJAS,NEGROS ANTAAC,"8,451.24",sep-15,"9,627.58","9,365.64"
CLAVO 2-5,NEGROS ANTAAC,"1,736.47",sep-15,"11,466.84","10,597.22"
ESCALERILLA,NEGROS ANTAAC,36.79,sep-15,"17,297.91","16,504.22"
ESTRIBOS,NEGROS ANTAAC,658.22,sep-15,"9,838.70","9,069.41"
MALLA SOLDADA 44 Y 66,NEGROS ANTAAC,"1,982.78",sep-15,"9,994.74","9,666.20"
MALLA SOLDADA 88 Y 1010,NEGROS ANTAAC,"3,048.89",sep-15,"10,672.60","10,359.52"
VARILLA 6000 3/16 5/32,NEGROS ANTAAC,56.36,sep-15,"10,669.56","10,268.75"
