"Grupo Estadistico2 (ALAMBRON, NEGROS ANTAAC), Direccion (VENTAS MEXICO) Periodo(Mes: Ene 2001/Ene 2021)",,,,,
Ene 2021 Grupo Estadistico3,Grupo Estadistico2,Est Toneladas Netas,Mes Año,Est Precio Destino MN/Ton,Est Precio ExWorks MN/Ton
ESTRIBOS,NEGROS ANTAAC,735.15,may-16,"10,193.22","9,486.12"
MALLA SOLDADA 44 Y 66,NEGROS ANTAAC,"2,227.12",may-16,"11,456.97","11,191.35"
MALLA SOLDADA 88 Y 1010,NEGROS ANTAAC,"3,660.46",may-16,"13,131.62","12,804.84"
VARILLA 6000 3/16 5/32,NEGROS ANTAAC,60.39,may-16,"11,616.94","11,149.07"
VARILLA 6000 5/16 1/4,NEGROS ANTAAC,432.3,may-16,"11,161.76","10,675.66"
ALAMBRE RECOCIDO,NEGROS ANTAAC,"3,022.79",may-15,"10,116.24","9,497.14"
ALAMBRON CONSTRUCCION,ALAMBRON,"3,696.15",may-15,"8,629.57","8,404.95"
ALAMBRON TREFILADO,ALAMBRON,"5,327.67",may-15,"8,926.89","8,823.73"
ALAMBRONES ESPECIALES,ALAMBRON,693.93,may-15,"9,745.68","9,598.52"
ARMADURA,NEGROS ANTAAC,573.56,may-15,"11,512.51","11,076.41"
CASTILLO DOB.,NEGROS ANTAAC,"1,052.97",may-15,"10,459.38","9,876.65"
CASTILLO HOJAS,NEGROS ANTAAC,"8,074.54",may-15,"9,585.48","9,326.82"
CLAVO 2-5,NEGROS ANTAAC,"1,853.08",may-15,"11,417.92","10,464.29"
ESCALERILLA,NEGROS ANTAAC,58.43,may-15,"18,216.22","16,927.51"
ESTRIBOS,NEGROS ANTAAC,652.37,may-15,"9,499.69","8,827.42"
MALLA SOLDADA 44 Y 66,NEGROS ANTAAC,"2,261.80",may-15,"9,835.34","9,561.39"
MALLA SOLDADA 88 Y 1010,NEGROS ANTAAC,"3,032.48",may-15,"10,657.65","10,322.13"
VARILLA 6000 3/16 5/32,NEGROS ANTAAC,100.51,may-15,"10,469.04","10,053.91"
VARILLA 6000 5/16 1/4,NEGROS ANTAAC,586.8,may-15,"10,228.49","9,790.70"
ALAMBRE RECOCIDO,NEGROS ANTAAC,"4,462.67",may-14,"9,944.75","9,944.75"
ALAMBRON CONSTRUCCION,ALAMBRON,"3,989.10",may-14,"8,861.09","8,619.29"
ALAMBRON TREFILADO,ALAMBRON,"9,119.84",may-14,"9,364.00","8,789.79"
ALAMBRONES ESPECIALES,ALAMBRON,785.19,may-14,"10,968.83","9,277.69"
ARMADURA,NEGROS ANTAAC,734.77,may-14,"11,086.44","11,086.44"
CASTILLO DOB.,NEGROS ANTAAC,971.9,may-14,"10,131.68","9,536.61"
CASTILLO HOJAS,NEGROS ANTAAC,"8,714.09",may-14,"9,095.64","8,883.84"
CLAVO 2-5,NEGROS ANTAAC,"1,799.12",may-14,"11,334.50","11,334.50"
ESCALERILLA,NEGROS ANTAAC,59.35,may-14,"17,493.62","17,493.62"
ESTRIBOS,NEGROS ANTAAC,562.9,may-14,"9,417.40","9,417.40"
MALLA SOLDADA 44 Y 66,NEGROS ANTAAC,"2,175.03",may-14,"9,571.59","9,319.12"
MALLA SOLDADA 88 Y 1010,NEGROS ANTAAC,"2,655.08",may-14,"10,465.09","10,051.59"
VARILLA 6000 3/16 5/32,NEGROS ANTAAC,55.96,may-14,"10,403.84","10,403.84"
VARILLA 6000 5/16 1/4,NEGROS ANTAAC,615.27,may-14,"10,030.42","10,030.42"
ALAMBRE RECOCIDO,NEGROS ANTAAC,"3,158.14",may-13,"10,180.55","10,180.55"
ALAMBRON CONSTRUCCION,ALAMBRON,"2,390.80",may-13,"9,321.89","9,093.72"
ALAMBRON TREFILADO,ALAMBRON,"5,203.79",may-13,"9,620.07","9,081.00"
ALAMBRONES ESPECIALES,ALAMBRON,"1,121.80",may-13,"11,057.38","9,266.31"
ARMADURA,NEGROS ANTAAC,549.22,may-13,"11,614.84","11,614.84"
CASTILLO DOB.,NEGROS ANTAAC,943.09,may-13,"10,452.90","9,883.24"
CASTILLO HOJAS,NEGROS ANTAAC,"7,180.81",may-13,"9,118.43","8,933.96"
CLAVO 2-5,NEGROS ANTAAC,"1,443.64",may-13,"11,767.85","11,767.85"
ESCALERILLA,NEGROS ANTAAC,36.13,may-13,"17,250.63","17,250.63"
ESTRIBOS,NEGROS ANTAAC,299.22,may-13,"10,432.39","10,432.39"
MALLA SOLDADA 44 Y 66,NEGROS ANTAAC,"1,561.98",may-13,"9,522.75","9,288.09"
MALLA SOLDADA 88 Y 1010,NEGROS ANTAAC,"2,991.80",may-13,"9,442.79","9,181.96"
VARILLA 6000 3/16 5/32,NEGROS ANTAAC,58.07,may-13,"11,162.18","11,162.18"
VARILLA 6000 5/16 1/4,NEGROS ANTAAC,536.03,may-13,"10,613.41","10,613.41"
ALAMBRE RECOCIDO,NEGROS ANTAAC,"4,423.17",may-12,"11,332.74","11,332.74"
ALAMBRON CONSTRUCCION,ALAMBRON,"3,065.22",may-12,"10,745.18","10,556.96"
ALAMBRON TREFILADO,ALAMBRON,"5,854.82",may-12,"11,401.70","10,691.42"
ALAMBRONES ESPECIALES,ALAMBRON,"1,011.54",may-12,"13,792.74","11,835.54"
ARMADURA,NEGROS ANTAAC,707.22,may-12,"12,269.95","12,269.95"
CASTILLO DOB.,NEGROS ANTAAC,"1,149.21",may-12,"11,724.28","11,091.54"
CASTILLO HOJAS,NEGROS ANTAAC,"10,049.21",may-12,"10,324.99","10,109.13"
CLAVO 2-5,NEGROS ANTAAC,"2,211.45",may-12,"12,374.17","12,374.17"
ESCALERILLA,NEGROS ANTAAC,56.7,may-12,"18,639.99","18,639.99"
ESTRIBOS,NEGROS ANTAAC,203.06,may-12,"11,754.99","11,754.99"
MALLA SOLDADA 44 Y 66,NEGROS ANTAAC,"2,479.16",may-12,"10,713.50","10,442.23"
MALLA SOLDADA 88 Y 1010,NEGROS ANTAAC,"3,437.51",may-12,"10,958.20","10,689.54"
VARILLA 6000 3/16 5/32,NEGROS ANTAAC,168.72,may-12,"12,016.81","12,016.81"
VARILLA 6000 5/16 1/4,NEGROS ANTAAC,996.67,may-12,"11,315.63","11,315.63"
ALAMBRE RECOCIDO,NEGROS ANTAAC,"4,698.69",may-11,"10,675.39","10,675.39"
ALAMBRON CONSTRUCCION,ALAMBRON,"2,647.90",may-11,"9,352.42","9,175.55"
ALAMBRON EXCEDENTES,ALAMBRON,580.44,may-11,"8,473.81","8,354.74"
ALAMBRON TREFILADO,ALAMBRON,"6,511.00",may-11,"9,585.66","9,485.79"
ALAMBRONES ESPECIALES,ALAMBRON,921.57,may-11,"9,776.33","9,660.27"
ARMADURA,NEGROS ANTAAC,474.44,may-11,"11,805.93","11,805.93"
CASTILLO DOB.,NEGROS ANTAAC,"1,053.27",may-11,"11,312.56","10,729.02"
CASTILLO HOJAS,NEGROS ANTAAC,"9,962.21",may-11,"10,216.08","10,006.80"
CLAVO 2-5,NEGROS ANTAAC,"1,734.46",may-11,"11,746.77","11,746.77"
ESCALERILLA,NEGROS ANTAAC,57.58,may-11,"18,091.42","18,091.42"
ESTRIBOS,NEGROS ANTAAC,256.45,may-11,"10,360.11","10,360.11"
MALLA SOLDADA 44 Y 66,NEGROS ANTAAC,"2,147.25",may-11,"10,219.84","9,987.08"
MALLA SOLDADA 88 Y 1010,NEGROS ANTAAC,"2,704.34",may-11,"10,920.54","10,654.11"
VARILLA 6000 3/16 5/32,NEGROS ANTAAC,106.89,may-11,"10,924.88","10,924.88"
VARILLA 6000 5/16 1/4,NEGROS ANTAAC,"1,001.95",may-11,"10,603.84","10,603.84"
ALAMBRE RECOCIDO,NEGROS ANTAAC,"5,449.05",may-10,"9,085.51","9,085.51"
ALAMBRON CONSTRUCCION,ALAMBRON,"2,696.93",may-10,"8,536.84","8,334.07"
ALAMBRON EXCEDENTES,ALAMBRON,"1,211.67",may-10,"7,410.19","7,233.23"
ALAMBRON TREFILADO,ALAMBRON,"3,802.83",may-10,"9,043.06","8,951.73"
ALAMBRONES ESPECIALES,ALAMBRON,"1,036.80",may-10,"9,317.48","9,213.17"
ARMADURA,NEGROS ANTAAC,583.93,may-10,"10,269.14","10,269.14"
CASTILLO DOB.,NEGROS ANTAAC,938.86,may-10,"9,715.18","9,059.47"
CASTILLO HOJAS,NEGROS ANTAAC,"10,537.76",may-10,"8,426.68","8,190.54"
CLAVO 2-5,NEGROS ANTAAC,"2,168.90",may-10,"10,485.80","10,485.80"
ESCALERILLA,NEGROS ANTAAC,56.41,may-10,"17,350.14","17,350.14"
ESTRIBOS,NEGROS ANTAAC,233.87,may-10,"9,573.79","9,573.79"
MALLA SOLDADA 44 Y 66,NEGROS ANTAAC,"3,646.85",may-10,"8,854.21","8,582.19"
MALLA SOLDADA 88 Y 1010,NEGROS ANTAAC,"4,211.06",may-10,"9,711.86","9,403.08"
VARILLA 6000 3/16 5/32,NEGROS ANTAAC,177.34,may-10,"9,817.98","9,817.98"
VARILLA 6000 5/16 1/4,NEGROS ANTAAC,"1,190.32",may-10,"9,226.15","9,226.15"
ALAMBRE RECOCIDO,NEGROS ANTAAC,"4,625.72",may-09,"8,774.20","8,774.20"
ALAMBRON CONSTRUCCION,ALAMBRON,"4,156.27",may-09,"7,811.02","7,611.23"
ALAMBRON EXCEDENTES,ALAMBRON,"1,557.63",may-09,"6,453.92","6,329.99"
ALAMBRON TREFILADO,ALAMBRON,"3,500.77",may-09,"7,897.47","7,803.14"
ALAMBRONES ESPECIALES,ALAMBRON,"1,187.75",may-09,"7,700.34","7,607.28"
ARMADURA,NEGROS ANTAAC,596.6,may-09,"11,658.71","11,658.71"
CASTILLO DOB.,NEGROS ANTAAC,"1,124.75",may-09,"9,547.14","8,904.88"
CASTILLO HOJAS,NEGROS ANTAAC,"11,401.47",may-09,"7,886.20","7,626.12"
CLAVO 2-5,NEGROS ANTAAC,"2,481.38",may-09,"10,414.59","10,414.59"
ESCALERILLA,NEGROS ANTAAC,30.05,may-09,"17,639.04","17,639.04"
ESTRIBOS,NEGROS ANTAAC,265.05,may-09,"9,134.39","9,134.39"
MALLA SOLDADA 44 Y 66,NEGROS ANTAAC,"2,367.22",may-09,"8,612.43","8,257.75"
MALLA SOLDADA 88 Y 1010,NEGROS ANTAAC,"4,063.29",may-09,"9,016.53","8,679.80"
VARILLA 6000 3/16 5/32,NEGROS ANTAAC,202.51,may-09,"10,208.49","10,208.49"
VARILLA 6000 5/16 1/4,NEGROS ANTAAC,413.11,may-09,"9,829.97","9,829.97"
ALAMBRE RECOCIDO,NEGROS ANTAAC,"4,867.40",may-08,"15,775.88","15,775.88"
ALAMBRON CONSTRUCCION,ALAMBRON,"4,210.16",may-08,"12,802.71","12,573.70"
ALAMBRON EXCEDENTES,ALAMBRON,"1,630.10",may-08,"11,255.70","11,134.57"
ALAMBRON TREFILADO,ALAMBRON,"7,189.83",may-08,"11,055.88","10,951.27"
ALAMBRONES ESPECIALES,ALAMBRON,"1,107.86",may-08,"11,222.83","11,100.25"
ARMADURA,NEGROS ANTAAC,"1,485.35",may-08,"17,621.31","17,621.31"
CASTILLO DOB.,NEGROS ANTAAC,611.7,may-08,"18,215.33","17,542.57"
CASTILLO HOJAS,NEGROS ANTAAC,"10,618.29",may-08,"16,628.37","16,350.54"
CLAVO 2-5,NEGROS ANTAAC,"2,523.35",may-08,"16,035.24","16,035.24"
ESCALERILLA,NEGROS ANTAAC,51.86,may-08,"22,740.88","22,740.88"
ESTRIBOS,NEGROS ANTAAC,389.69,may-08,"13,712.10","13,712.10"
MALLA SOLDADA 44 Y 66,NEGROS ANTAAC,"4,559.14",may-08,"15,060.66","14,639.60"
MALLA SOLDADA 88 Y 1010,NEGROS ANTAAC,"4,328.99",may-08,"16,969.43","16,608.01"
VARILLA 6000 3/16 5/32,NEGROS ANTAAC,315.25,may-08,"16,060.43","16,060.43"
VARILLA 6000 5/16 1/4,NEGROS ANTAAC,"1,523.47",may-08,"14,168.25","14,168.25"
ALAMBRE RECOCIDO,NEGROS ANTAAC,"3,627.66",may-07,"8,116.52","8,116.52"
ALAMBRON CONSTRUCCION,ALAMBRON,"2,763.18",may-07,"7,464.92","7,168.58"
ALAMBRON EXCEDENTES,ALAMBRON,"1,535.89",may-07,"6,140.83","6,028.32"
ALAMBRON TREFILADO,ALAMBRON,"3,190.36",may-07,"6,990.25","6,870.98"
ALAMBRONES ESPECIALES,ALAMBRON,888.74,may-07,"7,013.82","6,859.96"
ARMADURA,NEGROS ANTAAC,912.86,may-07,"11,018.47","11,018.47"
CASTILLO DOB.,NEGROS ANTAAC,663.06,may-07,"9,004.23","8,334.12"
CASTILLO HOJAS,NEGROS ANTAAC,"9,430.33",may-07,"7,870.46","7,597.86"
CLAVO 2-5,NEGROS ANTAAC,"2,635.48",may-07,"9,869.24","9,869.24"
ESCALERILLA,NEGROS ANTAAC,67.83,may-07,"17,175.41","17,175.41"
ESTRIBOS,NEGROS ANTAAC,284.87,may-07,"8,071.15","8,071.15"
MALLA SOLDADA 44 Y 66,NEGROS ANTAAC,"3,140.11",may-07,"8,297.32","7,888.10"
MALLA SOLDADA 88 Y 1010,NEGROS ANTAAC,"2,996.01",may-07,"9,098.10","8,698.85"
VARILLA 6000 3/16 5/32,NEGROS ANTAAC,215.57,may-07,"9,670.62","9,670.62"
VARILLA 6000 5/16 1/4,NEGROS ANTAAC,"1,052.78",may-07,"8,236.17","8,236.17"
ALAMBRE RECOCIDO,NEGROS ANTAAC,"4,885.76",may-06,"9,952.80","9,952.80"
ALAMBRON CONSTRUCCION,ALAMBRON,"7,852.20",may-06,"7,806.65","7,570.16"
ALAMBRON EXCEDENTES,ALAMBRON,"2,489.23",may-06,"6,310.48","6,172.88"
ALAMBRON TREFILADO,ALAMBRON,"6,160.87",may-06,"7,028.38","6,917.51"
ALAMBRONES ESPECIALES,ALAMBRON,"1,199.08",may-06,"6,670.43","6,532.19"
ARMADURA,NEGROS ANTAAC,"1,217.09",may-06,"11,796.25","11,796.25"
CASTILLO DOB.,NEGROS ANTAAC,862.59,may-06,"11,074.27","10,405.34"
CASTILLO HOJAS,NEGROS ANTAAC,"18,293.58",may-06,"9,774.27","9,502.83"
CLAVO 2-5,NEGROS ANTAAC,"3,008.71",may-06,"11,617.06","11,617.06"
ESCALERILLA,NEGROS ANTAAC,57.48,may-06,"15,757.54","15,757.54"
ESTRIBOS,NEGROS ANTAAC,338.11,may-06,"8,400.09","8,400.09"
MALLA SOLDADA 44 Y 66,NEGROS ANTAAC,"5,461.04",may-06,"10,086.48","9,733.86"
MALLA SOLDADA 88 Y 1010,NEGROS ANTAAC,"4,567.33",may-06,"12,085.14","11,667.50"
REMESH,NEGROS ANTAAC,2.88,may-06,"9,236.11","9,058.76"
VARILLA 6000 3/16 5/32,NEGROS ANTAAC,234.9,may-06,"9,565.53","9,565.53"
VARILLA 6000 5/16 1/4,NEGROS ANTAAC,843.41,may-06,"9,213.50","9,213.50"
ALAMBRE RECOCIDO,NEGROS ANTAAC,"5,345.92",may-05,"7,396.43","7,396.43"
ALAMBRON CONSTRUCCION,ALAMBRON,"4,252.17",may-05,"6,363.83","6,157.12"
ALAMBRON EXCEDENTES,ALAMBRON,793.96,may-05,"5,318.63","5,149.81"
ALAMBRON TREFILADO,ALAMBRON,"5,819.63",may-05,"6,134.83","6,036.09"
ALAMBRONES ESPECIALES,ALAMBRON,"1,183.40",may-05,"6,986.30","6,825.04"
ARMADURA,NEGROS ANTAAC,"1,007.36",may-05,"9,513.35","9,513.35"
CASTILLO DOB.,NEGROS ANTAAC,"1,238.15",may-05,"8,322.00","7,649.80"
CASTILLO HOJAS,NEGROS ANTAAC,"13,514.95",may-05,"6,874.95","6,680.15"
CLAVO 2-5,NEGROS ANTAAC,"3,112.55",may-05,"8,508.61","8,508.61"
ESCALERILLA,NEGROS ANTAAC,50.18,may-05,"15,486.81","15,486.81"
ESTRIBOS,NEGROS ANTAAC,335.17,may-05,"7,314.64","7,314.64"
MALLA SOLDADA 44 Y 66,NEGROS ANTAAC,"4,240.46",may-05,"7,050.60","6,635.13"
MALLA SOLDADA 88 Y 1010,NEGROS ANTAAC,"4,417.09",may-05,"8,054.86","7,608.45"
VARILLA 6000 3/16 5/32,NEGROS ANTAAC,170.47,may-05,"8,190.30","8,190.30"
VARILLA 6000 5/16 1/4,NEGROS ANTAAC,"1,010.49",may-05,"7,095.34","7,095.34"
ALAMBRE RECOCIDO,NEGROS ANTAAC,"3,266.25",may-04,"10,752.53","10,752.53"
ALAMBRON CONSTRUCCION,ALAMBRON,"6,987.59",may-04,"7,927.57","7,748.49"
ALAMBRON EXCEDENTES,ALAMBRON,948.85,may-04,"6,502.18","6,339.88"
ALAMBRON TREFILADO,ALAMBRON,"6,276.49",may-04,"7,173.48","7,073.41"
ALAMBRONES ESPECIALES,ALAMBRON,"1,594.99",may-04,"6,977.20","6,826.70"
ARMADURA,NEGROS ANTAAC,856.14,may-04,"11,095.43","11,095.43"
CASTILLO DOB.,NEGROS ANTAAC,860.46,may-04,"12,126.44","11,550.04"
CASTILLO HOJAS,NEGROS ANTAAC,"9,144.75",may-04,"10,610.65","10,359.66"
CLAVO 2-5,NEGROS ANTAAC,"2,357.73",may-04,"11,094.78","11,094.78"
ESCALERILLA,NEGROS ANTAAC,71.42,may-04,"14,834.13","14,834.13"
ESTRIBOS,NEGROS ANTAAC,253.66,may-04,"8,672.36","8,672.36"
MALLA SOLDADA 44 Y 66,NEGROS ANTAAC,"2,912.84",may-04,"10,067.18","9,684.48"
MALLA SOLDADA 88 Y 1010,NEGROS ANTAAC,"3,212.76",may-04,"11,568.25","11,154.77"
VARILLA 6000 3/16 5/32,NEGROS ANTAAC,172.67,may-04,"9,813.60","9,813.60"
VARILLA 6000 5/16 1/4,NEGROS ANTAAC,731.51,may-04,"8,554.92","8,554.92"
ALAMBRE RECOCIDO,NEGROS ANTAAC,"4,600.51",may-03,"5,176.80","5,176.80"
ALAMBRON CONSTRUCCION,ALAMBRON,"8,123.55",may-03,"4,154.97","3,968.99"
ALAMBRON EXCEDENTES,ALAMBRON,"1,755.54",may-03,"3,386.60","3,272.40"
ALAMBRON TREFILADO,ALAMBRON,"5,068.84",may-03,"3,954.80","3,851.31"
ALAMBRONES ESPECIALES,ALAMBRON,"1,817.18",may-03,"3,862.79","3,717.16"
ARMADURA,NEGROS ANTAAC,608.14,may-03,"7,461.81","7,461.81"
CASTILLO DOB.,NEGROS ANTAAC,954.28,may-03,"6,022.32","5,482.15"
CASTILLO HOJAS,NEGROS ANTAAC,"8,141.58",may-03,"5,387.18","5,152.87"
CLAVO 2-5,NEGROS ANTAAC,"3,330.73",may-03,"5,763.58","5,763.58"
ESCALERILLA,NEGROS ANTAAC,31.11,may-03,"8,114.16","8,114.16"
ESTRIBOS,NEGROS ANTAAC,184.53,may-03,"4,969.24","4,969.24"
MALLA SOLDADA 44 Y 66,NEGROS ANTAAC,"3,132.63",may-03,"5,266.78","4,920.53"
MALLA SOLDADA 88 Y 1010,NEGROS ANTAAC,"2,799.97",may-03,"6,011.80","5,635.87"
VARILLA 6000 3/16 5/32,NEGROS ANTAAC,176.44,may-03,"5,518.10","5,518.10"
VARILLA 6000 5/16 1/4,NEGROS ANTAAC,550.91,may-03,"4,859.15","4,859.15"
ALAMBRE RECOCIDO,NEGROS ANTAAC,"3,062.89",may-02,"4,085.65","4,085.65"
ALAMBRON CONSTRUCCION,ALAMBRON,"7,884.92",may-02,"3,031.99","3,031.99"
ALAMBRON EXCEDENTES,ALAMBRON,"1,918.96",may-02,"2,336.80","2,336.80"
ALAMBRON TREFILADO,ALAMBRON,"5,032.85",may-02,"2,927.64","2,927.64"
ALAMBRONES ESPECIALES,ALAMBRON,"2,041.66",may-02,"2,836.69","2,836.69"
ARMADURA,NEGROS ANTAAC,527.79,may-02,"6,499.49","6,499.49"
CASTILLO DOB.,NEGROS ANTAAC,"1,020.03",may-02,"4,128.51","4,128.51"
CASTILLO HOJAS,NEGROS ANTAAC,"9,297.18",may-02,"3,967.00","3,967.00"
CLAVO 2-5,NEGROS ANTAAC,"3,298.06",may-02,"4,225.46","4,225.46"
ESCALERILLA,NEGROS ANTAAC,26.56,may-02,"6,686.44","6,686.44"
ESTRIBOS,NEGROS ANTAAC,267.7,may-02,"4,086.95","4,086.95"
MALLA SOLDADA 44 Y 66,NEGROS ANTAAC,"2,717.45",may-02,"3,725.45","3,725.45"
MALLA SOLDADA 88 Y 1010,NEGROS ANTAAC,"3,351.84",may-02,"3,986.31","3,986.31"
VARILLA 6000 3/16 5/32,NEGROS ANTAAC,20.08,may-02,"3,592.75","3,592.75"
VARILLA 6000 5/16 1/4,NEGROS ANTAAC,333.8,may-02,"3,761.25","3,761.25"
ALAMBRE RECOCIDO,NEGROS ANTAAC,"4,884.46",may-01,"3,736.74","3,736.74"
ALAMBRON CONSTRUCCION,ALAMBRON,"8,211.80",may-01,"2,871.94","2,871.94"
ALAMBRON EXCEDENTES,ALAMBRON,"1,007.82",may-01,"2,470.81","2,470.81"
ALAMBRON TREFILADO,ALAMBRON,"3,819.76",may-01,"2,959.37","2,959.37"
ALAMBRONES ESPECIALES,ALAMBRON,719.25,may-01,"3,159.56","3,159.56"
ARMADURA,NEGROS ANTAAC,385.52,may-01,"6,725.51","6,725.51"
CASTILLO DOB.,NEGROS ANTAAC,660.2,may-01,"4,582.96","4,582.96"
CASTILLO HOJAS,NEGROS ANTAAC,"6,329.05",may-01,"3,888.39","3,888.39"
CLAVO 2-5,NEGROS ANTAAC,"2,947.39",may-01,"4,233.29","4,233.29"
ESCALERILLA,NEGROS ANTAAC,29.57,may-01,"7,114.48","7,114.48"
ESTRIBOS,NEGROS ANTAAC,202.14,may-01,"4,044.73","4,044.73"
MALLA SOLDADA 44 Y 66,NEGROS ANTAAC,"1,742.27",may-01,"3,739.77","3,739.77"
MALLA SOLDADA 88 Y 1010,NEGROS ANTAAC,"1,997.47",may-01,"4,323.55","4,323.55"
VARILLA 6000 3/16 5/32,NEGROS ANTAAC,74.86,may-01,"4,510.03","4,510.03"
VARILLA 6000 5/16 1/4,NEGROS ANTAAC,286.11,may-01,"4,033.89","4,033.89"
ALAMBRE RECOCIDO,NEGROS ANTAAC,"3,029.38",mar-20,"14,353.49","13,325.19"
ALAMBRON CONSTRUCCION,ALAMBRON,"4,961.06",mar-20,"12,226.39","11,048.87"
ALAMBRON ENDEREZADO,NEGROS ANTAAC,45.97,mar-20,"12,243.04","11,712.93"
ALAMBRON TREFILADO,ALAMBRON,"10,905.05",mar-20,"11,641.55","10,783.03"
ALAMBRONES ESPECIALES,ALAMBRON,"1,840.69",mar-20,"12,925.34","12,299.94"
ARMADURA,NEGROS ANTAAC,408.34,mar-20,"16,578.54","15,565.99"
CASTILLO DOB.,NEGROS ANTAAC,457.6,mar-20,"15,893.36","14,058.87"
CASTILLO HOJAS,NEGROS ANTAAC,"7,474.08",mar-20,"14,244.76","13,336.33"
CLAVO 2-5,NEGROS ANTAAC,"1,825.52",mar-20,"15,661.77","14,376.64"
ESCALERILLA,NEGROS ANTAAC,24.77,mar-20,"23,759.07","22,377.60"
ESTRIBOS,NEGROS ANTAAC,995.17,mar-20,"12,998.73","11,990.61"
MALLA SOLDADA 44 Y 66,NEGROS ANTAAC,942.01,mar-20,"14,357.38","13,385.19"
MALLA SOLDADA 88 Y 1010,NEGROS ANTAAC,"2,572.83",mar-20,"15,341.75","14,233.78"
VARILLA 6000 3/16 5/32,NEGROS ANTAAC,13.15,mar-20,"16,412.02","15,322.81"
VARILLA 6000 5/16 1/4,NEGROS ANTAAC,195.89,mar-20,"14,810.85","14,100.93"
ALAMBRE RECOCIDO,NEGROS ANTAAC,"2,449.55",mar-19,"15,256.83","14,424.81"
ALAMBRON CONSTRUCCION,ALAMBRON,"2,791.16",mar-19,"13,298.76","12,104.85"
ALAMBRON TREFILADO,ALAMBRON,"7,929.70",mar-19,"13,263.28","12,653.99"
ALAMBRONES ESPECIALES,ALAMBRON,"1,204.33",mar-19,"14,306.22","14,013.88"
ARMADURA,NEGROS ANTAAC,396.08,mar-19,"16,865.91","15,839.28"
CASTILLO DOB.,NEGROS ANTAAC,840.32,mar-19,"15,842.30","14,495.87"
CASTILLO HOJAS,NEGROS ANTAAC,"5,047.06",mar-19,"13,977.94","13,339.03"
CLAVO 2-5,NEGROS ANTAAC,"1,251.42",mar-19,"16,763.65","15,712.55"
ESCALERILLA,NEGROS ANTAAC,44.7,mar-19,"23,537.03","22,202.30"
ESTRIBOS,NEGROS ANTAAC,858.23,mar-19,"14,488.74","13,668.24"
MALLA SOLDADA 44 Y 66,NEGROS ANTAAC,721.35,mar-19,"15,256.99","14,432.29"
MALLA SOLDADA 88 Y 1010,NEGROS ANTAAC,"1,744.90",mar-19,"15,845.63","14,879.00"
VARILLA 6000 3/16 5/32,NEGROS ANTAAC,8,mar-19,"16,663.66","15,453.17"
VARILLA 6000 5/16 1/4,NEGROS ANTAAC,188.99,mar-19,"14,880.92","14,341.90"
ALAMBRE RECOCIDO,NEGROS ANTAAC,"2,699.32",mar-18,"16,082.14","15,350.08"
ALAMBRON CONSTRUCCION,ALAMBRON,"2,668.61",mar-18,"13,484.59","12,452.52"
ALAMBRON TREFILADO,ALAMBRON,"8,290.66",mar-18,"13,118.84","12,690.99"
ALAMBRONES ESPECIALES,ALAMBRON,845.72,mar-18,"14,162.03","14,158.52"
ARMADURA,NEGROS ANTAAC,350.2,mar-18,"18,052.77","17,242.50"
CASTILLO DOB.,NEGROS ANTAAC,558.43,mar-18,"17,951.64","16,464.13"
CASTILLO HOJAS,NEGROS ANTAAC,"5,115.72",mar-18,"16,303.12","15,736.86"
CLAVO 2-5,NEGROS ANTAAC,"1,286.30",mar-18,"17,307.77","16,230.17"
ESCALERILLA,NEGROS ANTAAC,66.88,mar-18,"21,160.16","19,875.79"
ESTRIBOS,NEGROS ANTAAC,957.01,mar-18,"14,727.16","13,827.93"
MALLA SOLDADA 44 Y 66,NEGROS ANTAAC,"1,333.41",mar-18,"16,590.59","16,005.42"
MALLA SOLDADA 88 Y 1010,NEGROS ANTAAC,"2,097.21",mar-18,"19,992.93","19,161.47"
VARILLA 6000 3/16 5/32,NEGROS ANTAAC,9.27,mar-18,"16,571.11","15,828.76"
VARILLA 6000 5/16 1/4,NEGROS ANTAAC,512.29,mar-18,"14,993.77","14,505.73"
ALAMBRE RECOCIDO,NEGROS ANTAAC,"3,481.62",mar-17,"13,953.60","13,275.71"
ALAMBRON CONSTRUCCION,ALAMBRON,"3,371.37",mar-17,"11,081.83","10,797.44"
ALAMBRON TREFILADO,ALAMBRON,"6,462.06",mar-17,"10,978.87","10,889.00"
ALAMBRONES ESPECIALES,ALAMBRON,658.16,mar-17,"11,907.23","11,850.42"
ARMADURA,NEGROS ANTAAC,605.56,mar-17,"15,937.81","15,382.76"
CASTILLO DOB.,NEGROS ANTAAC,"1,177.65",mar-17,"15,142.76","14,528.01"
CASTILLO HOJAS,NEGROS ANTAAC,"7,508.83",mar-17,"13,391.24","13,099.85"
CLAVO 2-5,NEGROS ANTAAC,"1,640.38",mar-17,"15,248.83","14,125.18"
ESCALERILLA,NEGROS ANTAAC,63.47,mar-17,"19,158.69","18,048.52"
ESTRIBOS,NEGROS ANTAAC,"1,075.10",mar-17,"12,071.88","11,121.62"
MALLA SOLDADA 44 Y 66,NEGROS ANTAAC,"1,721.89",mar-17,"13,877.04","13,580.34"
MALLA SOLDADA 88 Y 1010,NEGROS ANTAAC,"3,333.16",mar-17,"15,359.36","15,026.77"
VARILLA 6000 3/16 5/32,NEGROS ANTAAC,53.44,mar-17,"13,935.53","13,380.70"
